date,constituency,code,households,owned,owned_outright,owned_mortgage,owned_shared_ownership,rented_social,rented_social_local_authority,rented_social_other,rented_private,rented_private_landlord,rented_private_other,rent_free
2011,Dartford,E14000659,42486,28827,12211,16616,566,6160,4365,1795,6500,6099,401,433
2011,Dover,E14000670,42260,27845,14601,13244,211,6151,3765,2386,7395,6630,765,658
2011,East Hampshire,E14000680,38897,27936,14058,13878,398,5072,663,4409,4864,4050,814,627
2011,East Surrey,E14000681,42399,31732,14946,16786,417,4605,2747,1858,5123,4599,524,522
2011,East Worthing and Shoreham,E14000682,41852,30873,15246,15627,224,4591,2935,1656,5731,5190,541,433
2011,Eastbourne,E14000684,48518,30901,16976,13925,305,6032,3402,2630,10758,9964,794,522
2011,Eastleigh,E14000685,43281,30803,13238,17565,498,6087,548,5539,5537,5040,497,356
2011,Epsom and Ewell,E14000694,41434,32533,15943,16590,329,3511,363,3148,4738,4320,418,323
2011,Esher and Walton,E14000697,43691,32207,15085,17122,354,4622,987,3635,6005,5580,425,503
2011,Fareham,E14000699,40548,32391,15320,17071,254,3434,2124,1310,4113,3522,591,356
2011,Faversham and Mid Kent,E14000700,37820,26977,12900,14077,318,6042,1108,4934,3922,3473,449,561
2011,Folkestone and Hythe,E14000704,49389,32343,17624,14719,232,5454,3385,2069,10716,9729,987,644
2011,Gillingham and Rainham,E14000711,39657,27953,12408,15545,249,4136,2732,1404,6941,6480,461,378
2011,Gosport,E14000713,41461,28184,13372,14812,404,6166,3543,2623,6309,4890,1419,398
2011,Gravesham,E14000715,40431,26099,12408,13691,305,7008,5628,1380,6524,6108,416,495
2011,Guildford,E14000719,41361,27572,13725,13847,627,5666,4241,1425,6904,6297,607,592
2011,Hastings and Rye,E14000735,49289,28837,15018,13819,235,6905,929,5976,12752,11942,810,560
2011,Havant,E14000736,38976,25990,13374,12616,207,8322,4463,3859,4033,3548,485,424
2011,Henley,E14000742,39256,29185,15852,13333,265,3942,535,3407,5167,4178,989,697
2011,Horsham,E14000753,42310,31138,14635,16503,341,4912,424,4488,5240,4676,564,679
2011,Hove,E14000755,46090,26234,11298,14936,309,4925,2944,1981,14045,13381,664,577
2011,Isle of Wight,E14000762,61085,42817,25091,17726,362,6523,598,5925,10639,9663,976,744
2011,Lewes,E14000786,38639,28264,16257,12007,229,4149,3012,1137,5457,4960,497,540
2011,Maidenhead,E14000803,40783,29944,14518,15426,266,4608,787,3821,5390,4884,506,575
2011,Maidstone and The Weald,E14000804,41147,28273,13404,14869,497,4536,656,3880,7304,6546,758,537
2011,Meon Valley,E14000811,37147,28621,14268,14353,228,3954,2014,1940,3829,3386,443,515
2011,Mid Sussex,E14000817,43704,32187,15023,17164,459,4735,249,4486,5842,5406,436,481
2011,Milton Keynes North,E14000821,48572,28284,10760,17524,2430,8215,4978,3237,9195,8559,636,448
2011,Milton Keynes South,E14000822,50012,28629,10397,18232,3555,9548,5823,3725,7871,7371,500,409
2011,Mole Valley,E14000824,39589,29140,15667,13473,373,4681,984,3697,4781,4203,578,614
2011,New Forest East,E14000827,38895,29220,15459,13761,229,4555,2512,2043,4419,3741,678,472
2011,New Forest West,E14000828,37944,28383,17971,10412,255,3885,2673,1212,4874,4412,462,547
2011,Newbury,E14000830,43863,29253,13103,16150,565,6684,475,6209,6569,5787,782,792
2011,North East Hampshire,E14000844,37864,29107,13383,15724,413,3215,213,3002,4615,3685,930,514
2011,North Thanet,E14000852,40720,27269,14329,12940,234,4737,2325,2412,7967,7240,727,513
2011,North West Hampshire,E14000857,41468,28549,13242,15307,324,6756,1543,5213,5126,4287,839,713
2011,Oxford East,E14000873,43342,19608,9522,10086,830,10452,6689,3763,11729,10976,753,723
2011,Oxford West and Abingdon,E14000874,42869,28785,15334,13451,386,4988,1658,3330,7880,7057,823,830
2011,Portsmouth North,E14000883,39612,26764,11798,14966,284,6053,3944,2109,6093,5198,895,418
2011,Portsmouth South,E14000884,45861,20133,8818,11315,541,9558,6057,3501,15005,13846,1159,624
2011,Reading East,E14000889,42883,25313,10968,14345,645,5122,2793,2329,11409,10814,595,394
2011,Reading West,E14000890,41409,26420,10990,15430,591,6980,4069,2911,7011,6532,479,407
2011,Reigate,E14000893,40355,29135,13092,16043,519,4943,1028,3915,5363,4980,383,395
2011,Rochester and Strood,E14000898,42574,28994,12748,16246,596,5857,795,5062,6641,5867,774,486
2011,Romsey and Southampton North,E14000901,34729,23749,12440,11309,212,4635,2065,2570,5518,4691,827,615
2011,Runnymede and Weybridge,E14000907,41945,29184,13861,15323,365,4806,3034,1772,6975,6390,585,615
2011,Sevenoaks,E14000918,38136,27794,14197,13597,626,4990,621,4369,4151,3718,433,575
2011,Sittingbourne and Sheppey,E14000927,43829,29870,13406,16464,472,6069,981,5088,6947,6392,555,471
2011,Slough,E14000930,48233,25551,9115,16436,629,10112,6623,3489,11454,10865,589,487
2011,South Thanet,E14000948,42544,26921,14702,12219,172,4925,2166,2759,9960,9265,695,566
2011,South West Surrey,E14000953,41754,30511,15231,15280,422,5241,4048,1193,4893,4400,493,687
2011,"Southampton, Itchen",E14000955,44125,23323,9938,13385,554,10526,8035,2491,9251,8714,537,471
2011,"Southampton, Test",E14000956,43984,20380,8754,11626,371,10148,7237,2911,12618,11987,631,467
2011,Spelthorne,E14000959,39512,28671,13403,15268,540,4911,636,4275,5004,4633,371,386
2011,Surrey Heath,E14000983,41873,32054,14378,17676,329,4177,1030,3147,4905,4171,734,408
2011,Tonbridge and Malling,E14000997,39425,27562,13317,14245,598,6424,821,5603,4279,3830,449,562
2011,Tunbridge Wells,E14001004,43410,28530,13730,14800,329,6509,532,5977,7524,7000,524,518
2011,Wantage,E14001015,43107,29940,14314,15626,544,6022,930,5092,5984,4737,1247,617
2011,Wealden,E14001023,41460,31994,16469,15525,380,3774,2261,1513,4569,4092,477,743
2011,Winchester,E14001041,39310,26964,14364,12600,359,5937,3897,2040,5383,4603,780,667
2011,Windsor,E14001042,41557,28078,12520,15558,296,4788,621,4167,7531,6390,1141,864
2011,Witney,E14001046,43241,30141,14915,15226,548,5387,738,4649,6423,5108,1315,742
2011,Woking,E14001047,41878,29445,13388,16057,388,4923,3460,1463,6718,5899,819,404
2011,Wokingham,E14001048,39745,30344,12917,17427,645,3260,1562,1698,5083,4376,707,413
2011,Worthing West,E14001055,44231,31633,18041,13592,225,4390,1145,3245,7569,7013,556,414
2011,Wycombe,E14001056,41557,27313,11549,15764,567,6079,3829,2250,7049,6289,760,549
2011,Bath,E14000547,37700,21550,11523,10027,234,6597,1494,5103,8827,8215,612,492
2011,Bournemouth East,E14000584,45851,26537,12433,14104,297,4369,1954,2415,14203,13383,820,445
2011,Bournemouth West,E14000585,43813,25090,12492,12598,311,6265,3731,2534,11657,10916,741,490
2011,Bridgwater and West Somerset,E14000595,45979,31332,17585,13747,229,6536,2875,3661,7117,6321,796,765
2011,Bristol East,E14000599,41082,25688,11306,14382,279,6579,4562,2017,8028,7447,581,508
2011,Bristol North West,E14000600,41579,25237,12577,12660,260,9812,7971,1841,5650,5229,421,620
2011,Bristol South,E14000601,46316,26249,11795,14454,387,11216,8752,2464,7812,7240,572,652
2011,Bristol West,E14000602,53770,21534,9250,12284,459,9476,5209,4267,21538,20485,1053,763
2011,Camborne and Redruth,E14000616,36215,25408,14296,11112,273,4340,1190,3150,5709,5073,636,485
2011,Central Devon,E14000623,37931,27834,15998,11836,265,3563,1510,2053,5681,5084,597,588
2011,Cheltenham,E14000630,46137,29063,14279,14784,350,5867,3813,2054,10372,9763,609,485
2011,Chippenham,E14000635,40405,28988,13753,15235,250,5832,617,5215,4901,4412,489,434
2011,Christchurch,E14000638,37643,29754,18867,10887,234,3826,299,3527,3476,3099,377,353
2011,Devizes,E14000665,37851,22597,11553,11044,372,7033,1102,5931,7075,4049,3026,774
2011,East Devon,E14000678,41627,31047,18872,12175,288,3758,2598,1160,5926,5217,709,608
2011,Exeter,E14000698,43900,25472,12605,12867,397,8001,4566,3435,9482,8836,646,548
2011,Filton and Bradley Stoke,E14000702,38067,27121,11739,15382,185,3839,750,3089,6537,6070,467,385
2011,Forest of Dean,E14000705,35858,26771,14785,11986,189,4339,788,3551,3996,3408,588,563
2011,Gloucester,E14000712,46444,30416,12964,17452,543,6651,3887,2764,8387,7686,701,447
2011,Kingswood,E14000774,36098,26964,12193,14771,167,4205,798,3407,4374,3795,579,388
2011,Mid Dorset and North Poole,E14000815,33922,26397,14197,12200,200,3340,798,2542,3623,3239,384,362
2011,Newton Abbot,E14000835,37397,27268,14915,12353,372,3349,784,2565,5975,5399,576,433
2011,North Cornwall,E14000837,37449,25633,15669,9964,266,4708,3135,1573,6135,5417,718,707
2011,North Devon,E14000838,40001,27383,15638,11745,271,4316,971,3345,7341,6377,964,690
2011,North Dorset,E14000839,39709,28567,15781,12786,242,4808,370,4438,5349,4329,1020,743
2011,North East Somerset,E14000846,35815,27518,14304,13214,134,4017,1034,2983,3620,3193,427,526
2011,North Somerset,E14000850,42037,33339,17034,16305,301,3249,1087,2162,4732,4244,488,416
2011,North Swindon,E14000851,45218,31225,11985,19240,434,6717,5058,1659,6470,5904,566,372
2011,North Wiltshire,E14000860,35690,25861,12697,13164,231,3962,436,3526,5080,3684,1396,556
2011,"Plymouth, Moor View",E14000879,38616,23281,10800,12481,269,10643,5554,5089,3981,3157,824,442
2011,"Plymouth, Sutton and Devonport",E14000880,47877,22580,9644,12936,390,9108,3463,5645,15251,14170,1081,548
2011,Poole,E14000881,42200,28645,14795,13850,434,4865,2895,1970,7777,7053,724,479
2011,Salisbury,E14000912,38683,25223,13257,11966,374,6261,4145,2116,6133,5055,1078,692
2011,Somerton and Frome,E14000932,43958,31833,17498,14335,259,5106,1347,3759,5910,5226,684,850
2011,South Dorset,E14000936,40213,26997,15526,11471,255,5359,1516,3843,7006,6081,925,596
2011,South East Cornwall,E14000938,38799,27607,15639,11968,279,4654,3324,1330,5624,4888,736,635
2011,South Swindon,E14000947,43142,26677,10764,15913,684,7665,5211,2454,7699,7116,583,417
2011,South West Devon,E14000950,37194,29261,15074,14187,350,2516,560,1956,4689,3793,896,378
2011,South West Wiltshire,E14000954,41565,28414,14474,13940,236,5503,1304,4199,6779,5703,1076,633
2011,St Austell and Newquay,E14000961,41894,28765,15863,12902,388,4357,1002,3355,7788,6872,916,596
2011,St Ives,E14000964,37741,25197,15506,9691,228,4900,866,4034,6623,5595,1028,793
2011,Stroud,E14000980,42379,30897,15859,15038,277,5394,4231,1163,5256,4790,466,555
2011,Taunton Deane,E14000988,46907,31393,16329,15064,251,7321,5439,1882,7227,6506,721,715
2011,Tewkesbury,E14000990,42146,31702,16421,15281,351,4511,1024,3487,5111,4287,824,471
2011,The Cotswolds,E14000991,41651,27894,16019,11875,449,6091,1215,4876,6053,5265,788,1164
2011,Thornbury and Yate,E14000994,33373,26501,13118,13383,145,2589,515,2074,3689,3259,430,449
2011,Tiverton and Honiton,E14000996,42801,30522,18169,12353,325,4984,3426,1558,6215,5557,658,755
